Категория,Рекомендация,Описание,Приоритет,Источник
🏋️‍♂️ Тренировки,Не делать отказных подходов при тренировке full-body или верх-низ,Следует останавливаться за 1-2 повторения до отказа т.к. иначе организм не будет успевать восстанавливаться.,2,https://youtu.be/2e7YE0T2Kbw
🏋️‍♂️ Тренировки,"Выбирать эффективные, а не популярные упражнения","Например: тяга штанги в наклоне, а не становая тяга для спины, т.к. становая тяга больше нагружает заднюю часть бедра, а спина работает только в статическом режиме (без растяжений/сокращений) + это травмоопасное упражнение. Или делать не жим штанги лежа для развития грудных, а жим гантелей лежа/жим гантелей (или штанги) на наклонной скамье.",2,https://youtu.be/2e7YE0T2Kbw
🏋️‍♂️ Тренировки,Не делать больших перерывов между тренировками,"У эктоморфов быстро теряются силовые и происходит мышечный откат, особенно если пропускать несколько тренировок подряд.",2,https://youtu.be/2e7YE0T2Kbw
🏋️‍♂️ Тренировки,Легкая тренировочная неделя,"Раз в месяц или 2 месяца делать легкую тренировочную неделю (периодизация),тренироваться с маленькими весами (половина от рабочего веса). Необходимо для разгрузки нервной системы и полного восстановления мышц и связок. Это позволит эффективнее набирать мышечную массу, не допуская перетренированного состояния.",2,https://youtu.be/2e7YE0T2Kbw
🏋️‍♂️ Тренировки,Не выполнять упражнения вызывающие дискомфорт,"Если упражнение кажется неестественным, приводит к болевым ощущениям и не позволяет ощутить прорабатываемые мышцы, лучше отказаться от его выполнения или значительно снизить рабочий вес, чтобы ""поставить технику"" и принять решение о дальнейшем выполнении этого упражнения.",2,
🏋️‍♂️ Тренировки,Ограничить амплитуду выполнения упражнений,"При выполнении упражнений с весами, с большой амплитудой движения (широкое разведение рук, полное разгибание локтя, ""вставление"" суставов) на дистанции повышается риск растяжения сухожилий и получения травмы суставов.",3,
🏋️‍♂️ Тренировки,Избегать стресса в жизни,"Стресс приводит к выработке кортизола (гормон катаболизма), это негативно влияет на мышечный рост.",3,https://youtu.be/2e7YE0T2Kbw
🏋️‍♂️ Тренировки,Периодически вносить изменения в тренировки и другие принципы,"Тренировочный путь это не набор констант, стоит выделить отдельные переменные и периодически их менять, оценивая изменения. С течением времени организм адаптируется к нагрузкам, а для роста им нужно давать стресс и при большем стаже тренировок часть принципов меняется.
Пример: Часть принципов которыми я руководствовался в начале тренировки теряют актуальность при большем стаже.
Пример: Менять программы тренировок каждые 3 месяца после 1-2 лет зала.",3,https://youtu.be/2e7YE0T2Kbw
🏋️‍♂️ Тренировки,Не выполнять разовые повторения (пожать на раз),В таком случае не происходит полное вовлечение мышечной группы и при этом суставы и связки получают большую нагрузку.,3,https://youtu.be/2e7YE0T2Kbw
🏋️‍♂️ Тренировки,Разминка/заминка,"Выполнять разминку/ заминку в начале и конце тренировок. Разминать те мышцы и суставы, которые будут принимать участие в выполнении упражнения.
Пример: Разминка для брусьев: Локти, плечи, кисти. ",,
