Группа,Наименование,Категория,Оценка
Любимая,Малина,Фрукты и ягоды,❤️❤️
Любимая,Нектарин,Фрукты и ягоды,❤️❤️
Любимая,Земляника,Фрукты и ягоды,❤️❤️
Любимая,Клубника,Фрукты и ягоды,❤️❤️
Любимая,Консервированные ананасы,Фрукты и ягоды,❤️❤️
Любимая,Виноград зеленый (без косточек),Фрукты и ягоды,❤️❤️
Любимая,Мастер Пироговъ - Булки с джемом,"Булки и рулеты, Сладости",❤️❤️
Любимая,Любятово - Шоколадное печенье,"Пряники и печенье, Сладости",❤️❤️
Любимая,Чизкейк,"Пироги и торты, Сладости",❤️❤️
Любимая,Панчо,"Пироги и торты, Сладости",❤️❤️
Любимая,Красный октябрь - Цитрон,"Конфеты и леденцы, Сладости",❤️❤️
Любимая,Аленка,"Сладости, Шоколад",❤️❤️
Любимая,Донаты,Сладости,❤️❤️
Любимая,"Пончики ""Берлинер""",Сладости,❤️❤️
Любимая,Рулет с ягодным джемом,"Булки и рулеты, Сладости",❤️
Нелюбимая,"Do! Mini (Сыр, Томат)",Снеки,
Нелюбимая,Greenfield - Currant & Mint,"Напитки, Чай",
Нелюбимая,Greenfield - Quince Ginger,"Напитки, Чай",
Нелюбимая,Greenfield - Barberry Garden (Барбарис),"Напитки, Чай",
Нелюбимая,Greenfield - Wildberry Rooibos,"Напитки, Чай",
Нелюбимая,Greenfield - Floral Cloud,"Напитки, Чай",
Нелюбимая,Curtis - Bahama Nights,"Напитки, Чай",
Нелюбимая,Greenfield - Festive Grape,"Напитки, Чай",
Нелюбимая,Greenfield - Spring Melody,"Напитки, Чай",
Нелюбимая,Тунец консервированный (Вкусвилл),Обычная еда,
Нелюбимая,"Субпродукты (языки, мозги и т.п.)",Обычная еда,
Нелюбимая,Индейка,Обычная еда,
Нелюбимая,Перловая каша,Обычная еда,
Нелюбимая,Холодец,Обычная еда,
Нелюбимая,"Пирожки (мясо, капуста с яйцом, картошка)",Обычная еда,
Нелюбимая,Манная каша,Обычная еда,
Нелюбимая,Кинза,Другое,
Нейтрально,Кунжутные семечки,Другое,
Нелюбимая,Томатный сок,Соки и морсы,
Нелюбимая,"Фисташки ""Красная цена""",Орехи,
Нелюбимая,Чернослив (Ашан),Фрукты и ягоды,
Нелюбимая,Хурма,Фрукты и ягоды,
Нелюбимая,Айва,Фрукты и ягоды,
Нелюбимая,M&Ms с арахисом,Конфеты и леденцы,
Нелюбимая,Alpen Gold - Вкус Арахисовой Пасты,"Сладости, Шоколад",
Нелюбимая,Alpen Gold - Какао-бобы и карамель,"Сладости, Шоколад",
Нелюбимая,Компот из сухофруктов,Напитки,
Нелюбимая,Кофе с сиропом “Имбирный пряник”,Напитки,
Нелюбимая,Кофе с сиропом “Имбирный кокос”,Напитки,
Нелюбимая,Кофе с сиропом “Миндаль”,Напитки,
Нелюбимая,Козинаки,Сладости,
Нелюбимая,Финики в шоколаде,Сладости,
