Название,Co-Op [👁],PC/VR [👁],VR [👁],Дата выхода,Дата добавления [👁],Дата изменения,Жанры,Обложка,Описание,Оценка,Рейтинг,Ссылка,Статус
Stardew Valley,Yes,PC Игры,No,26 фев. 2016,"March 29, 2022 3:00 AM","October 16, 2022 11:12 AM"," Инди,  Ролевые игры,  Симуляторы",https://cdn.cloudflare.steamstatic.com/steam/apps/413150/header.jpg?t=1608624324,Вам досталась старая дедушкина ферма в долине Стардью. С горстью монет в кармане и старыми инструментами в руках вы начинаете новую жизнь. Сможете ли вы превратить пустырь в цветущий сад?,,97,https://store.steampowered.com/app/413150/Stardew_Valley/,⌛ В планах
Potion Craft: Alchemist Simulator,No,PC Игры,No,21 сен. 2021,"March 29, 2022 3:00 AM","January 4, 2023 4:23 AM"," Инди,  Симуляторы, Ранний доступ",https://cdn.cloudflare.steamstatic.com/steam/apps/1210320/header.jpg?t=1641691513,"Potion Craft – симулятор алхимика, в котором вы физически взаимодействуете с ингредиентами и инструментами в процессе варки зелий. Придумывайте новые рецепты, привлекайте клиентов и экспериментируйте! На вас рассчитывает весь город!",,91,https://store.steampowered.com/app/1210320/Potion_Craft_Alchemist_Simulator/,📅 Ожидает
Factorio,Yes,PC Игры,No,14 авг. 2020,"March 29, 2022 3:00 AM","October 16, 2022 11:12 AM"," Инди,  Симуляторы, Казуальные игры, Стратегии",https://cdn.cloudflare.steamstatic.com/steam/apps/427520/header.jpg?t=1620730652,"Factorio - это игра о создании автоматизированных фабрик по производству вещей все более возрастающей сложности, в пределах бесконечного 2D мира - Используйте свое воображение для проектирования фабрик, комбинируйте простые элементы в комплексные структуры и, наконец, защищайтесь от враждебных существ.",,96,https://store.steampowered.com/app/427520/Factorio/,⌛ В планах
Blade & Sorcery: Nomad,No,VR Игры,Yes,4 ноября 2021 г.,"March 29, 2022 12:39 PM","October 16, 2022 11:12 AM"," Симуляторы,  Файтинги,  Экшен",https://scontent.oculuscdn.com/v/t64.5771-25/38974869_4510370042376166_8181286894859995495_n.jpg?stp=dst-jpg_q92_s720x720&_nc_cat=1&ccb=1-5&_nc_sid=79b88e&_nc_ohc=4U42Og5p65AAX_gVNN6&_nc_ht=scontent.oculuscdn.com&oh=00_AT8sd4Eb-m6954u4iHGH0LsDKx1E2xouNdnXAkQ74O8QXQ&oe=6247A311,"The era of the VR weightless, wiggle-sword combat is over. Blade & Sorcery: Nomad is a medieval fantasy sandbox like no other, focusing on melee, ranged and magic combat that fully utilizes a unique and realistic physics driven interaction and combat system. Built exclusively for VR, collisions are dictated by fine hitboxes, objects have weight and follow the laws of physics, creatures have full body physics and presence, and blades can be used to penetrate soft materials or deflect magic. In Blade & Sorcery: Nomad, the combat is limited only by your own creativity. Choose your weapon, choose your stance, choose your fighting style; Be the powerful warrior, ranger or sorcerer you always dreamed of becoming!",,65,https://www.oculus.com/experiences/quest/2031826350263349/?locale=ru_RU,⌛ В планах
Onward,Yes,VR Игры,Yes,30 июля 2020 г.,"March 29, 2022 4:37 PM","October 16, 2022 11:12 AM"," Симуляторы,  Экшен, Шутеры",https://scontent.oculuscdn.com/v/t64.5771-25/75367595_1974144416053316_5099339461612380278_n.jpg?stp=dst-jpg_q92_s720x720&_nc_cat=1&ccb=1-5&_nc_sid=79b88e&_nc_ohc=Rd3VZKwsaXYAX8-EZUT&_nc_ht=scontent.oculuscdn.com&oh=00_AT8gqw1dk4F15JJmk7UfQH0YCWIznsEcdjeNl-8czqrgIw&oe=62478B07,"Become fully immersed in the firefight! Experience a first person shooter as you never have before: Onward combines mil-sim gameplay with the experience of playing in virtual reality. Players cannot rely on crosshairs or mini maps, instead you rely on coordination and communication with your squad in order to succeed at your objective. Realistic combat mechanics and artificial locomotion will push your combat survival skills to their limit as you engage in infantry combat across a large variety of maps and combat situations.

Onward features a wide variety of solo, coop and competitive game modes. Take to the online battlefield and join your friends in cross-platform combat in a high stakes clash with up to ten people and best your opponents on a strategic and tactical level in an Uplink or Assault match, chase down AI bots in a Hunt mission or wait for extraction as waves of enemies approach you during an Evac mission. The only way is Onward.",,66,https://www.oculus.com/experiences/quest/2677344882310094/?locale=ru_RU,⌛ В планах
SUPERHOT VR,No,VR Игры,Yes,"May 21, 2019","March 29, 2022 4:37 PM","October 16, 2022 11:12 AM"," Puzzle,  Shooter, Action",https://scontent.oculuscdn.com/v/t64.5771-25/39031634_1034680610354985_8151357713603702498_n.jpg?stp=dst-jpg_q92_s720x720&_nc_cat=1&ccb=1-5&_nc_sid=79b88e&_nc_ohc=V-bVNXCHbMAAX_GAQN9&_nc_ht=scontent.oculuscdn.com&oh=00_AT-Wj9vK6p-IK4YCX0pyr8YzboMkXOchhpDTbu9T5Ub_3A&oe=62480653,"""SUPERHOT VR feels downright rapturous” - Polygon

Multi-award winning, smash-hit SUPERHOT VR blurs the lines between cautious strategy and unbridled mayhem. The definitive VR action experience. Time moves only when you move.

No regenerating health bars. No conveniently placed ammo drops. It's you, alone, outnumbered and outgunned. Snatch weapons from fallen enemies to shoot, slice and dodge through a truly cinematic hurricane of slow-motion bullets.
 
It’s like nothing you have ever played before. Something is different here. Lose track of what’s real. 

Loved by millions, timeless yet improved, Quest delivers the definitive SUPERHOT VR experience. 

Painstakingly rebuilt as originally destined to be. Nothing distracts from the rush of SUPERHOT’s signature slow-motion combat. Pyramids within levels are gone. Flow unhindered through the action like a ballerina of death. 

No tethers. No compromise. 

MIND IS SOFTWARE 
YOU ARE NOW FREE",,,https://www.oculus.com/experiences/quest/1921533091289407,⌛ В планах
Deep Rock Galactic,Yes,PC Игры,No,13 мая. 2020,"March 30, 2022 1:40 PM","October 16, 2022 11:12 AM",Экшены,https://cdn.cloudflare.steamstatic.com/steam/apps/548430/header_alt_assets_8.jpg?t=1648045175,"Deep Rock Galactic — первый научно-фантастический шутер с видом от первого лица для совместной игры, в котором вас ждут крутые космические гномы, полностью разрушаемое окружение, процедурно генерируемые системы пещер и бесконечные волны инопланетных чудовищ.",,95,https://store.steampowered.com/app/548430/Deep_Rock_Galactic/,⌛ В планах
Cult of the Lamb,No,PC Игры,No,2022,"March 30, 2022 2:39 PM","January 3, 2023 1:44 PM"," Инди,  Приключенческие игры, Стратегии, Экшены",https://cdn.cloudflare.steamstatic.com/steam/apps/1313140/header.jpg?t=1646186115,"Заложите основы собственного культа в землях лжепророков и совершайте вылазки в разнообразные таинственные регионы, создайте преданное сообщество лесных почитателей и несите свое Слово, чтобы сделать это сообщество единственным истинным культом.",🧡,,https://store.steampowered.com/app/1313140/Cult_of_the_Lamb/,✔️ Пройдена
S.T.A.L.K.E.R. 2: Heart of Chornobyl,No,PC Игры,No,8 дек. 2022,"March 30, 2022 2:42 PM","October 16, 2022 11:12 AM"," Приключенческие игры,  Ролевые игры, Экшены",https://cdn.akamai.steamstatic.com/steam/apps/1643320/header.jpg?t=1647860197,"Исследуйте Чернобыльскую Зону Отчуждения полную опасных врагов, смертельных аномалий и мощных артефактов. Напишите собственную эпическую историю, прокладывая тропы к Сердцу Чернобыля. Выбирайте свой путь обдуманно, ведь он определит вашу судьбу в конце.",,,https://store.steampowered.com/app/1643320/STALKER_2_Heart_of_Chornobyl/?curator_clanid=6313,⌛ В планах
S.T.A.L.K.E.R.: Shadow of Chernobyl,No,PC Игры,No,20 мар. 2007,"March 30, 2022 2:42 PM","December 9, 2022 7:43 AM"," Ролевые игры, Экшены",https://cdn.akamai.steamstatic.com/steam/apps/4500/header.jpg?t=1624531877,"S.T.A.L.K.E.R.: Тень Чернобыля рассказывает о выживании в Зоне – крайне опасном месте, где нужно бояться не только радиации, аномалий и смертоносных существ, но и других ""сталкеров"", преследующих собственные цели.",,92,https://store.steampowered.com/app/4500/STALKER_Shadow_of_Chernobyl/,⌛ В планах
Dead Cells,No,PC Игры,No,7 авг. 2018,"March 30, 2022 2:43 PM","January 3, 2023 1:46 PM"," Инди, Экшены",https://cdn.cloudflare.steamstatic.com/steam/apps/588650/header.jpg?t=1648649141,"Dead Cells — это экшн-платформер в жанре Rogue-lite и Metroidvania. Вас ждет огромный, постоянно меняющийся замок... Если, конечно, вы сможете победить тех, кто встанет у вас на пути, в 2D-схватках в стиле Souls-lite. Без сохранений. Убивайте, умирайте, учитесь и пробуйте снова.",⭐,95,https://store.steampowered.com/app/588650/Dead_Cells/,🗑️ Брошена
Grand Theft Auto V,Yes,PC Игры,No,14 апр. 2015,"March 30, 2022 2:45 PM","March 3, 2023 10:50 AM"," Приключенческие игры, Экшены",https://cdn.akamai.steamstatic.com/steam/apps/271590/header.jpg?t=1618856444,Grand Theft Auto V для PC позволяет игрокам исследовать знаменитый мир Лос-Сантоса и округа Блэйн в разрешении до 4k и выше с частотой 60 кадров в секунду.,⭐⭐,83,https://store.steampowered.com/app/271590/Grand_Theft_Auto_V/?l=russian,🗑️ Брошена
DEATH STRANDING DIRECTOR'S CUT,No,PC Игры,No,30.03.22,"March 30, 2022 3:04 PM","January 4, 2023 4:23 AM",,https://cdn1.epicgames.com/f4a904fcef2447439c35c4e6457f3027/offer/DS_wide-2560x1440-c3d7bbf8ee36dd025610088381a5235a.jpg,"Легендарный творец Хидэо Кодзима представляет окончательную версию DIRECTOR'S CUT знаковой для жанра игры. Действуя от лица Сэма Бриджеса и объединяя последних выживших на территории Америки, вам предстоит возродить надежду человечества.",,,https://store.epicgames.com/ru/p/death-stranding-directors-cut,📅 Ожидает
FINAL FANTASY VII REMAKE INTERGRADE,No,PC Игры,No,16.12.21,"March 30, 2022 3:04 PM","October 16, 2022 11:12 AM",,https://cdn2.unrealengine.com/egs-finalfantasyviiremakeintergrade-squareenix-ic1-400x400-f6089ddf30be.png?h=270&resize=1&w=480,"Cloud Strife, бывший оперативник SOLDIER, отправляется в питаемый энергией мако город Midgar. Мир вечной классики FINAL FANTASY VII возрождается, получив новейшую графику, новую боевую систему и дополнительные приключения с Yuffie Kisaragi.",,,https://store.epicgames.com/ru/p/final-fantasy-vii-remake-intergrade,⌛ В планах
Disco Elysium - The Final Cut,No,PC Игры,No,15 окт. 2019,"March 30, 2022 3:07 PM","October 16, 2022 11:12 AM"," Ролевые игры",https://cdn.cloudflare.steamstatic.com/steam/apps/632470/header_alt_assets_6.jpg?t=1648484662,"Disco Elysium - The Final Cut — революция в жанре РПГ. Ваш персонаж — детектив с уникальными навыками, которому предстоит исследовать целый район. Допрашивайте персонажей, расследуйте убийства или берите взятки. Кем вы станете: героем или неудачником?",🧡,92,https://store.steampowered.com/app/632470/Disco_Elysium__The_Final_Cut/,✔️ Пройдена
Fallout: New Vegas,No,PC Игры,No,19 окт. 2010,"March 30, 2022 3:11 PM","March 3, 2023 1:26 PM"," Ролевые игры, Экшены",https://cdn.cloudflare.steamstatic.com/steam/apps/22380/header.jpg?t=1586905021,Добро пожаловать в Вегас. Новый Вегас. Приятного вам отдыха!,,95,https://store.steampowered.com/app/22380/Fallout_New_Vegas/,🎮 В процессе
The Legend of Zelda: Breath of the Wild,No,PC Игры,No,3 марта 2017 г.,"March 30, 2022 3:16 PM","October 16, 2022 11:12 AM",,%D0%A2%D0%B0%D0%B1%D0%BB%D0%B8%D1%86%D0%B0%20%E2%80%9C%D0%98%D0%B3%D1%80%D1%8B%E2%80%9D%20048a48702b494c2db29c341ce40e77a2/the-legend-of-zelda-breath-of-the-wild-switch-hero.jpg,"Step into a world of discovery, exploration and adventure in The Legend of Zelda™: Breath of the Wild.",⭐⭐,,https://www.zelda.com/breath-of-the-wild/,🗑️ Брошена
Kingdom Come: Deliverance,No,PC Игры,No,13 фев. 2018,"March 30, 2022 3:19 PM","October 16, 2022 11:12 AM"," Приключенческие игры,  Ролевые игры, Экшены",https://cdn.cloudflare.steamstatic.com/steam/apps/379430/header.jpg?t=1644861952,"Kingdom Come: Deliverance – это захватывающая РПГ с открытым миром, которая перенесёт вас в эпическое приключение в Священную Римскую империю. Отомстите за смерть ваших родителей, сражаясь с силами вторжения, выполняйте квесты, изменяйте мир своими решениями.",,81,https://store.steampowered.com/app/379430/Kingdom_Come_Deliverance/?utm_source=kingdomcomerpg&utm_medium=web&utm_campaign=KingdomComeDeliverance&utm_term=GETHEGAMEONSTEAM,⌛ В планах
Gothic 1 Remake,No,PC Игры,No,Coming Soon,"March 30, 2022 3:20 PM","October 16, 2022 11:12 AM"," Ролевые игры, Экшены",https://cdn.cloudflare.steamstatic.com/steam/apps/1297900/header.jpg?t=1615885406,Королевство Миртана осаждают полчища беспощадных орков.,,,https://store.steampowered.com/app/1297900/Gothic_1_Remake/,⌛ В планах
eSports Boxing Club,No,PC Игры,No,Coming Soon,"March 30, 2022 3:20 PM","October 16, 2022 11:12 AM"," Инди,  Ролевые игры,  Симуляторы,  Спортивные игры, Ранний доступ, Экшены",https://cdn.cloudflare.steamstatic.com/steam/apps/1451190/header.jpg?t=1635323882,"An action-simulation boxing game with NextGen visuals - featuring licensed boxers, institutions and governing bodies. Start from the bottom and work your way up to World Champion in Career Mode. Fight online Multiplayer in ranked and unranked matches.",,,https://store.steampowered.com/app/1451190/eSports_Boxing_Club/?l=russian,⌛ В планах
Thymesia,No,PC Игры,No,Coming Soon,"March 30, 2022 3:20 PM","October 16, 2022 11:12 AM",Экшены,https://cdn.cloudflare.steamstatic.com/steam/apps/1343240/header.jpg?t=1637247020,"Thymesia — это жестокий и динамичный ролевой экшн с тщательно продуманной системой болезнетворного оружия. В роли таинственного Корвуса вам предстоит выживать в королевстве, где свирепствует смерть. Выслеживайте врагов, овладейте силой чумы и докопайтесь до правды в своих собственных воспоминаниях.",,,https://store.steampowered.com/app/1343240/Thymesia/,⌛ В планах
KINGDOM HEARTS Melody of Memory,No,PC Игры,No,30.03.21,"March 30, 2022 3:22 PM","October 16, 2022 11:12 AM",,https://cdn2.unrealengine.com/egs-kingdomheartsmelodyofmemory-squareenix-ic1-400x400-4f5f4f1a0f82.png?h=270&resize=1&w=480,"Столько музыки в KINGDOM HEARTS ещё не было! Melody of Memory — это ритм-экшен, в котором вас ждёт более 20 персонажей, свыше 140 музыкальных композиций и многопользовательский онлайн-режим. Откройте для себя музыку и ключевые события из серии KINGDOM HEARTS.",,,https://store.epicgames.com/ru/p/kingdom-hearts-melody-of-memory,⌛ В планах
KINGDOM HEARTS III,No,PC Игры,No,30.03.21,"March 30, 2022 3:23 PM","October 16, 2022 11:12 AM",,https://cdn2.unrealengine.com/egs-kingdomheartsiiireminddlc-squareenix-ic1-400x400-e7db21ee5e48.png?h=270&resize=1&w=480,"KINGDOM HEARTS III и дополнение Re Mind повествуют о силе дружбы в опасном приключении, в которое отправляются Сора и его друзья. Действие игры KINGDOM HEARTS разворачивается в самых разнообразных мирах Disney, рассказывая о пути юноши Соры, ничего не подозревающего наследника, к обретению впечатляющей власти.",,,https://store.epicgames.com/ru/p/kingdom-hearts-iii,⌛ В планах
В KINGDOM HEARTS HD 2.8 Final Chapter Prologue,No,PC Игры,No,30.03.21,"March 30, 2022 3:23 PM","October 16, 2022 11:12 AM",,https://cdn2.unrealengine.com/egs-kingdomheartshd28finalchapterprologue-squareenix-ic1-400x400-d83aaac4185d.png?h=270&resize=1&w=480,"В KINGDOM HEARTS HD 2.8 Final Chapter Prologue представлены 3 волшебных события, ведущих к KINGDOM HEARTS III: – KINGDOM HEARTS Dream Drop Distance HD – KINGDOM HEARTS χ Back Cover (фильм) – KINGDOM HEARTS 0.2 Birth by Sleep – A fragmentary passage –",,,https://store.epicgames.com/ru/p/kingdom-hearts-hd-2-8-final-chapter-prologue,⌛ В планах
KINGDOM HEARTS HD 1.5 + 2.5 ReMIX,No,PC Игры,No,30.03.21,"March 30, 2022 3:23 PM","October 16, 2022 11:12 AM",,https://cdn2.unrealengine.com/egs-kingdomheartshd1525remix-squareenix-ic1-400x400-1561e7a7acad.png?h=270&resize=1&w=480,KINGDOM HEARTS HD 1.5 + 2.5 ReMIX — это потрясающий HD-ремастер шести незабываемых игр из вселенной KINGDOM HEARTS. Хватайте свой ключ-клинок и спасайте миры Disney от тьмы в KINGDOM HEARTS HD 1.5 + 2.5 ReMIX.,,,https://store.epicgames.com/ru/p/kingdom-hearts-hd-1-5-2-5-remix,⌛ В планах
HORROR TALES: The Wine,No,PC Игры,No,30 июл. 2021,"March 30, 2022 3:23 PM","October 16, 2022 11:12 AM"," Инди,  Приключенческие игры, Экшены",https://cdn.cloudflare.steamstatic.com/steam/apps/1340640/header.jpg?t=1640865712,"Исследуйте фантастический средиземноморский остров, переживший пандемию, и преодолейте свои страхи! Изучите кажущийся заброшенным город и попытайтесь найти драгоценную бутылку красного вина Banydebosc, чтобы вылечить своих близких. Но имейте в виду: ваш заклятый враг наблюдает за вами.",,,https://store.steampowered.com/app/1340640/HORROR_TALES_The_Wine/,⌛ В планах
Road 96 🛣️,No,PC Игры,No,16 авг. 2021,"March 30, 2022 3:24 PM","October 16, 2022 11:12 AM"," Инди,  Приключенческие игры, Экшены",https://cdn.akamai.steamstatic.com/steam/apps/1466640/header.jpg?t=1646841464,Автостопом навстречу свободе. Сумасшедшее процедурно-генерируемое дорожное приключение от именитых инди-разработчиков. У каждого своя дорога!,,89,https://store.steampowered.com/app/1466640/Road_96/,⌛ В планах
Fahrenheit: Indigo Prophecy Remastered,No,PC Игры,No,29 янв. 2015,"March 30, 2022 3:26 PM","October 16, 2022 11:12 AM"," Приключенческие игры,  Ролевые игры",https://cdn.cloudflare.steamstatic.com/steam/apps/312840/header.jpg?t=1574281669,"Fahrenheit (known as Indigo Prophecy in North America) was a breakthrough in interactive narrative. This newly remastered edition features updated textures in HD, expanded controller support, and is based on the uncut and uncensored international version of the game.",,78,https://store.steampowered.com/app/312840/Fahrenheit_Indigo_Prophecy_Remastered/,⌛ В планах
The Elder Scrolls V: Skyrim Special Edition,No,PC Игры,No,28 окт. 2016,"March 30, 2022 3:26 PM","January 13, 2023 2:00 AM"," Ролевые игры",https://cdn.akamai.steamstatic.com/steam/apps/489830/header.jpg?t=1636654357,"Winner of more than 200 Game of the Year Awards, Skyrim Special Edition brings the epic fantasy to life in stunning detail. The Special Edition includes the critically acclaimed game and add-ons with all-new features like remastered art and effects, volumetric god rays, dynamic depth of field, screen-space reflections, and more.",,89,https://store.steampowered.com/app/489830/The_Elder_Scrolls_V_Skyrim_Special_Edition/?l=russian,📅 Ожидает
Stoneshard,No,PC Игры,No,6 фев. 2020,"March 30, 2022 3:27 PM","October 16, 2022 11:12 AM"," Инди,  Приключенческие игры,  Ролевые игры, Ранний доступ, Стратегии",https://cdn.akamai.steamstatic.com/steam/apps/625960/header.jpg?t=1644319159,"Stoneshard – это сложная пошаговая RPG в открытом мире. Вас ждёт суровая жизнь средневекового наёмника: путешествуйте по разорённому войной королевству, выполняйте контракты, сражайтесь, залечивайте раны и развивайте персонажа безо всяких ограничений.",,75,https://store.steampowered.com/app/625960/Stoneshard/,⌛ В планах
Loop Hero,No,PC Игры,No,4 мар. 2021,"March 30, 2022 3:27 PM","October 16, 2022 11:12 AM"," Инди,  Ролевые игры, Стратегии",https://cdn.akamai.steamstatic.com/steam/apps/1282730/header.jpg?t=1633530897,"Лич заточил мир во вневременную петлю, и всех его обитателей поглотил нескончаемый хаос. В вашем распоряжении растущая колода загадочных карт, с помощью которой вам предстоит размещать врагов, здания и элементы ландшафта на пути отважного героя в каждом из его неповторимых путешествий.",,91,https://store.steampowered.com/app/1282730/Loop_Hero/,⌛ В планах
Life is Strange: True Colors,No,PC Игры,No,9 сен. 2021,"March 30, 2022 3:29 PM","October 16, 2022 11:12 AM"," Приключенческие игры, Экшены",https://cdn.akamai.steamstatic.com/steam/apps/936790/header.jpg?t=1646150450,"Алекс Чэнь от всех скрывает своё «проклятие» — сверхъестественную способность считывать сильные эмоции других и влиять на них. Но когда её брат погибает — якобы в результате несчастного случая, — Алекс использует её, чтобы узнать правду.",⭐⭐⭐,88,https://store.steampowered.com/app/936790/Life_is_Strange_True_Colors/,✔️ Пройдена
Life is Strange 2,No,PC Игры,No,26 сен. 2018,"March 30, 2022 3:30 PM","October 16, 2022 11:12 AM"," Приключенческие игры",https://cdn.akamai.steamstatic.com/steam/apps/532210/header_russian.jpg?t=1637335482,"Из-за трагических событий братья Шон и Даниэль Диасы сбежали из дома и отправились в Мексику. Скрываясь от полиции, они обнаруживают у Даниэля телекинетические способности. В путешествии они встретят новых друзей и столкнутся с нелёгкими испытаниями.",⭐⭐⭐,83,https://store.steampowered.com/app/532210/Life_is_Strange_2/?curator_clanid=36149206,✔️ Пройдена
The Awesome Adventures of Captain Spirit,No,PC Игры,No,25 июн. 2018,"March 30, 2022 3:30 PM","October 16, 2022 11:12 AM"," Приключенческие игры, Бесплатно",https://cdn.akamai.steamstatic.com/steam/apps/845070/header_russian.jpg?t=1592488774,"Вы в детстве мечтали стать супергероем? Тогда познакомьтесь с 9-летним фантазёром Крисом, улетающим из скучной реальности в фантастические миры в образе Капитана Призрака! «Капитан Призрак» — бесплатная демо-версия, история во вселенной Life is Strange, связанная с игрой Life is Strange 2",⭐⭐,90,https://store.steampowered.com/app/845070/The_Awesome_Adventures_of_Captain_Spirit/?curator_clanid=36149206,✔️ Пройдена
